|           Name | Chip | XDISP |         ECH |       XDAng | Deck | Rbin | Cbin | IOrder | EOrder |
| adrd97-23.fits |    1 | RED97 |  0.87987649 |      1.5675 |   C2 |    1 |    2 |     40 |     54 |
| adrd97-24.fits |    1 | RED97 |  0.87987649 |      1.5675 |   C2 |    1 |    2 |     40 |     54 |
| adrd97-25.fits |    1 | RED97 |       0.577 |       0.473 |   C2 |    1 |    2 |     48 |     69 |
| adrd97-26.fits |    1 | RED97 | -0.39416641 | -0.23100001 |   C1 |    1 |    2 |     54 |     84 |
| adrd97-27.fits |    1 | RED97 |  0.36998028 | -0.21250001 |   C1 |    1 |    2 |     54 |     84 |
| adrd97-28.fits |    1 | RED97 |  0.10668117 |      0.0315 |   C1 |    1 |    2 |     51 |     78 |
| adrd97-29.fits |    1 | RED97 | -1.12583935 |  1.34899998 |   C2 |    1 |    2 |     41 |     56 |
| adrd97-30.fits |    1 | RED97 | -0.25666058 | -0.63099998 |   C1 |    1 |    2 |     58 |     95 |
| adrd97-31.fits |    1 | RED97 |  0.29107934 | -0.61949998 |   C1 |    1 |    2 |     58 |     95 |
| adrd97-32.fits |    1 | RED97 | -0.55336362 |  0.28099999 |   C2 |    1 |    2 |     49 |     72 |
| adrd97-33.fits |    1 | RED97 | -0.68672568 | -0.37900001 |   C1 |    1 |    2 |     55 |     87 |
| adrd97-34.fits |    1 | RED97 | -0.82059509 |  1.38349998 |   C2 |    1 |    2 |     41 |     55 |
| adrd97-35.fits |    1 | RED97 | -0.82059509 |  1.38349998 |   C2 |    1 |    2 |     41 |     55 |
| adrd97-36.fits |    1 | RED97 |  0.54406124 |  0.31799999 |   C2 |    1 |    2 |     49 |     72 |
| adrd97-37.fits |    1 | RED97 |  0.90199077 |  1.44200003 |   C2 |    1 |    2 |     41 |     55 |
| adrd97-38.fits |    1 | RED97 |  0.90199077 |  1.44200003 |   C2 |    1 |    2 |     41 |     55 |
| adrd97-39.fits |    1 | RED97 |  0.15023313 | -0.74949998 |   B2 |    1 |    2 |     60 |    100 |
| adrd97-40.fits |    1 | RED97 |  0.15023313 | -0.74949998 |   B2 |    1 |    2 |     60 |    100 |
| adrd97-41.fits |    1 | RED97 |  0.25002208 | -0.41850001 |   C1 |    1 |    2 |     56 |     89 |
| adrd97-42.fits |    1 | RED97 |  0.25002208 | -0.41850001 |   C1 |    1 |    2 |     56 |     89 |
| adrd97-43.fits |    1 | RED97 |   0.3698957 |  1.06550002 |   C2 |    1 |    2 |     43 |     60 |
| adrd97-44.fits |    1 | RED97 |   0.3698957 |  1.06550002 |   C2 |    1 |    2 |     43 |     60 |
| adrd97-45.fits |    1 | RED97 |  0.49995962 |  0.29899999 |   C2 |    1 |    2 |     49 |     72 |
| adrd97-46.fits |    1 | RED97 |  0.49995962 |  0.29899999 |   C2 |    1 |    2 |     49 |     72 |
| adrd97-47.fits |    1 | RED97 |  0.68998146 |  0.78850001 |   C2 |    1 |    2 |     45 |     64 |
| adrd97-48.fits |    1 | RED97 |  0.68998146 |  0.78850001 |   C2 |    1 |    2 |     45 |     64 |
| adrd97-49.fits |    1 | RED97 | -0.14993714 | -0.74900001 |   B2 |    1 |    2 |     60 |    100 |
| adrd97-50.fits |    1 | RED97 | -0.14993714 | -0.74900001 |   B2 |    1 |    2 |     60 |    100 |
| adrd97-51.fits |    1 | RED97 |  -0.2799165 | -0.68000001 |   C1 |    1 |    2 |     59 |     97 |
| adrd97-52.fits |    1 | RED97 |  -0.2799165 | -0.68049997 |   C1 |    1 |    2 |     59 |     97 |
| adrd97-53.fits |    1 | RED97 | -0.47995955 |       0.271 |   C2 |    1 |    2 |     49 |     72 |
| adrd97-54.fits |    1 | RED97 | -0.47995955 |       0.271 |   C2 |    1 |    2 |     49 |     72 |
| adrd97-55.fits |    1 | RED97 | -0.69002378 |  0.74949998 |   C2 |    1 |    2 |     45 |     64 |
| adrd97-56.fits |    1 | RED97 | -0.69006604 |  0.74949998 |   C2 |    1 |    2 |     45 |     64 |
| adrd97-57.fits |    1 | RED97 | -0.33869049 |     -0.3795 |   C1 |    1 |    2 |     55 |     88 |
| adrd97-58.fits |    1 | RED97 |  0.35742208 | -0.38049999 |   C1 |    1 |    2 |     56 |     88 |
| adrd97-59.fits |    1 | RED97 | -0.18296053 |      -0.833 |  A11 |    1 |    2 |     61 |    103 |
| adrd97-60.fits |    1 | RED97 | -0.18296053 |      -0.833 |  A11 |    1 |    2 |     61 |    103 |
| adrd97-61.fits |    1 | RED97 |  0.03725173 | -0.87099999 |  A11 |    1 |    2 |     62 |    105 |
| adrd97-62.fits |    1 | RED97 |  0.03725173 | -0.87099999 |  A11 |    1 |    2 |     62 |    105 |
| adrd97-63.fits |    1 | RED97 |  0.28807721 | -0.91900003 |  A11 |    1 |    2 |     62 |    107 |
| adrd97-64.fits |    1 | RED97 |  0.28807721 | -0.91900003 |  A11 |    1 |    2 |     62 |    107 |
| adrd97-65.fits |    1 | RED97 |   4.228e-05 |  1.73199999 |  A12 |    1 |    2 |     39 |     52 |
| adrd97-66.fits |    1 | RED97 | -1.03201234 |  0.80900002 |  A12 |    1 |    2 |     44 |     63 |
| adrd97-67.fits |    1 | RED97 |  1.03209698 |  0.80900002 |  A12 |    1 |    2 |     45 |     64 |
| adrd97-68.fits |    1 | RED97 |  1.03209698 |  2.70350003 |  A12 |    1 |    2 |     35 |     44 |
| adrd97-69.fits |    1 | RED97 |  0.31019145 |      0.6085 |   C5 |    1 |    2 |     46 |     67 |
| adrd97-70.fits |    1 | RED97 |  0.31019145 |      0.6085 |   C5 |    1 |    2 |     46 |     67 |
| adrd97-71.fits |    1 | RED97 | -0.05615243 | -0.51749998 |   C5 |    1 |    2 |     57 |     92 |
| adrd97-72.fits |    1 | RED97 | -0.05615243 | -0.51749998 |   C5 |    1 |    2 |     57 |     92 |
| adrd97-73.fits |    1 | RED97 |  -8.457e-05 | -0.83399999 |  A11 |    1 |    2 |     61 |    103 |
| adrd97-74.fits |    1 | RED97 |  -8.457e-05 | -0.83399999 |  A11 |    1 |    2 |     61 |    103 |
| adrd97-75.fits |    1 | RED97 |  -8.457e-05 |     -0.8355 |  A11 |    1 |    2 |     61 |    103 |
| adrd97-76.fits |    1 | RED97 |  -8.457e-05 |     -0.8355 |  A11 |    1 |    2 |     61 |    103 |
|   aduv-01.fits |    1 |    UV |         0.0 |  1.72000003 |   C2 |    1 |    2 |     62 |     84 |
|   aduv-02.fits |    1 |    UV | -0.19995849 |  1.72000003 |   C2 |    1 |    2 |     62 |     84 |
|   aduv-03.fits |    1 |    UV |   0.1999162 |  1.72000003 |   C2 |    1 |    2 |     62 |     84 |
|   aduv-04.fits |    1 |    UV | -0.39991698 |  1.72000003 |   C2 |    1 |    2 |     62 |     84 |
|   aduv-05.fits |    1 |    UV |  0.39995924 |  1.72000003 |   C2 |    1 |    2 |     62 |     84 |
|   aduv-06.fits |    1 |    UV |         0.0 |  2.08899999 |   C2 |    1 |    2 |     59 |     78 |
|   aduv-07.fits |    1 |    UV |  -0.1999162 |  2.08899999 |   C2 |    1 |    2 |     59 |     78 |
|   aduv-08.fits |    1 |    UV |   0.1999162 |  2.08899999 |   C2 |    1 |    2 |     59 |     78 |
|   aduv-09.fits |    1 |    UV | -0.39991698 |  2.08899999 |   C2 |    1 |    2 |     59 |     78 |
|   aduv-10.fits |    1 |    UV |  0.39995924 |  2.08899999 |   C2 |    1 |    2 |     59 |     78 |
|   aduv-11.fits |    1 |    UV |         0.0 |  1.38849998 |   C1 |    1 |    2 |     65 |     90 |
|   aduv-12.fits |    1 |    UV | -0.20000076 |  1.38849998 |   C1 |    1 |    2 |     65 |     90 |
